id,artist,lastfm_artist_bio
505,Tom T. Hall,"Tom T. Hall (born May 25, 1936 in Olive Hill, Kentucky; died August 20, 2021) was an American country music songwriter, singer, instrumentalist, novelist, and short-story writer. He wrote 12 No. 1 hit songs, with 26 more that reached the Top 10, including the No. 1 international pop crossover hit ""Harper Valley PTA"" and ""I Love"", which reached No. 12 on the US Billboard Hot 100. He is included in Rolling Stone's list of 100 Greatest Songwriters. He became known to fans as ""The Storyteller"", thanks to his storytelling skills in his songwriting. Read more on Last.fm"
506,Tom Waits,"Tom Waits (born Thomas Alan Waits, in Pomona, California, on December 7, 1949) is a prolific American singer, songwriter, composer, and actor.

He started his career in the early 1970s as a singer in spit 'n' sawdust bars. Initially, he was deeply influenced by the beat generation, novelists like Jack Kerouac and William S. Burroughs, and poets like Allen Ginsberg and Charles Bukowski.  Waits is often compared to Charles Bukowski, being similar both in content and lifestyle Read more on Last.fm"
507,Tool,"Tool is an American alternative metal/progressive metal band from Los Angeles. Formed in 1990, the group's line-up includes vocalist Maynard James Keenan, guitarist Adam Jones and drummer Danny Carey. Justin Chancellor has been the band's bassist since 1995, replacing their original bassist Paul D'Amour. Tool has won four Grammy Awards, performed worldwide tours, and produced albums topping the charts in several countries.

To date, the band has released five studio albums, one EP and one box set. Read more on Last.fm"
508,Tori Amos,"Tori Amos (born Myra Ellen Amos; August 22, 1963) is an American singer-songwriter and pianist. She is classically trained and has a mezzo-soprano vocal range. Amos began composing instrumental piano pieces at a young age and won a full scholarship to the Peabody Institute at Johns Hopkins University when she was five, becoming the youngest person admitted. She left the institute at eleven after her scholarship was discontinued.

In the 1980s, Amos Read more on Last.fm"
509,Toto,"Toto is an American rock band formed in Los Angeles, California, in 1977. The group blends elements of pop, rock, soul, funk, hard rock, R&B, blues, and jazz. They have released 14 studio albums and sold over 50 million records worldwide, receiving several Grammy Awards and an induction into the Musicians Hall of Fame and Museum in 2009.

Keyboardist and vocalist David Paich and drummer Jeff Porcaro, both experienced session musicians, founded the band and were joined by bassist David Hungate Read more on Last.fm"
510,Townes Van Zandt,"John Townes Van Zandt (March 7, 1944 – January 1, 1997), better known as Townes Van Zandt, was a critically acclaimed American songwriter and singer. Much of Van Zandt’s musical canon--songs such as ""Pancho and Lefty"", ""For the Sake of the Song"", ""Tecumseh Valley"", ""Rex's Blues"", and ""To Live is to Fly""--are widely considered masterpieces of American folk music. His musical style is often described as melancholy in sound and delivery with rich and poetic lyrics. Read more on Last.fm"
511,Tracy Chapman,"Tracy Chapman (born March 30, 1964 in Cleveland, OH) is an American singer best known for the singles ""Fast Car"", ""Talkin' Bout a Revolution"", ""Baby Can I Hold You"", and ""Give Me One Reason."" She is a multi-platinum and multi-Grammy award-winning artist.

Born in Cleveland, Ohio,U.S., Tracy Chapman began playing guitar and writing songs as a child. She received a scholarship through A Better Chance that allowed her to attend Wooster School in Connecticut, and was eventually accepted to Tufts University in Medford, Massachusetts. Read more on Last.fm"
512,Tragically Hip,"The Tragically Hip—often referred to simply as The Hip—formed in 1983. They took their name from the song ""Town Cryer"" by Elvis Costello & The Attractions from the album Imperial Bedroom.
In 1987, the band signed a long-term record deal with MCA after former company president Bruce Dickinson saw them perform live at the Horseshoe Tavern in Toronto, Ontario.[1] Later that year they released the self-titled EP The Tragically Hip, but the band did not achieve success until the release of 1989's Up to Here. Read more on Last.fm"
513,Train,"Train is an American pop rock band from San Francisco that was formed in 1993. Since 2024, the band consists of Pat Monahan (lead vocals), Taylor Locke (guitar, vocals), Hector Maldonado (bass, vocals), Jerry Becker (keyboards, guitar), and Matt Musty (drums).

With a lineup that included original members Monahan, Rob Hotchkiss, Jimmy Stafford, Scott Underwood, and Charlie Colin, the band achieved mainstream success with their debut album Train. The album was released in 1998 with the hit ""Meet Virginia"". Read more on Last.fm"
514,Travis,"Travis is a Scottish alternative band formed in Glasgow in 1990, composed of Fran Healy (lead vocals, rhythm guitar), Dougie Payne (bass guitar, backing vocals), Andy Dunlop (lead guitar, banjo, backing vocals) and Neil Primrose (drums, percussion). The band's name comes from the character Travis Henderson (played by Harry Dean Stanton) from the film Paris, Texas (1984).

The band released their debut album, Good Feeling (1997), to moderate success Read more on Last.fm"
515,Twenty One Pilots,"Twenty One Pilots (stylized in all lowercase or as twenty øne piløts) are an American musical duo from Columbus, Ohio. Initially a trio, the group was formed in 2009 by lead vocalist Tyler Joseph along with Nick Thomas and Chris Salih, who both left in 2011. Since their departure, the line-up has consisted of Joseph and drummer Josh Dun. The duo is best known for their singles ""Stressed Out"", ""Ride"", and ""Heathens"". The group received a Grammy Award for Best Pop Duo/Group Performance at the 59th Annual Grammy Awards for ""Stressed Out"". Read more on Last.fm"
516,U. D. O.,Read more on Last.fm
517,U-Kiss,"U-KISS (Korean: 유키스; Japanese: ユーキス) are a five-member boy band from South Korea formed by NH Media (also the company for Yang Donggeun & LABOUM). They debuted with their song 어리지 않아 (Not Young) in Japan at the The Power of Atamix 08 on August 15th, 2008. The group's fancafe attracted around 50,000 visitors just two days after they were established.

The group has released three full-length albums in addition to several mini albums and singles. Read more on Last.fm"
518,U2,"U2 is an Irish rock band formed in Dublin in 1976. The group comprises Bono (lead vocals and rhythm guitar), the Edge (lead guitar, keyboards, and backing vocals), Adam Clayton (bass guitar), and Larry Mullen Jr. (drums and percussion). Initially rooted in post-punk, U2's musical style has evolved throughout their career, yet has maintained an anthemic quality built on Bono's expressive vocals and the Edge's chiming, effects-based guitar sounds. Bono's lyrics Read more on Last.fm"
519,UB40,"UB40 is an English reggae and pop band, formed in December 1978 in Birmingham, England. The band has had more than 50 singles in the UK Singles Chart and has also achieved considerable international success. They have been nominated for the Grammy Award for Best Reggae Album four times and were nominated for the Brit Award for Best British Group in 1984. UB40 have sold more than 70 million records worldwide. The ethnic make-up of the band's original line-up was diverse Read more on Last.fm"
520,Ufo,"UFO is a British hard rock/heavy metal band that was formed in 1969, with lead singer Phil Mogg, guitarist Mick Bolton, bassist Pete Way, and drummer Andy Parker. UFO was a transitional band between the rock of Led Zeppelin and the metal to come in the New Wave of British Heavy Metal.  Their early releases are commonly referred to as ""space rock"" with obvious influence from the 60s rock scene. 

In 1973 the band recruited an 18 year old Michael Schenker from the band Scorpions. Read more on Last.fm"
521,Ugly Kid Joe,"Ugly Kid Joe is a rock band which formed in Isla Vista, California, United States in 1989. The band's name is a parody of the band Pretty Boy Floyd. The band made a name for themselves in the early 1990s with their mix of satire and hard rock/metal sound. The band achieved two worldwide top ten hits with 1992's ""Everything About You"" and a 1993 cover of Harry Chapin's ""Cat's in the Cradle"".

The band released three albums, ""America's Least Wanted"" (1992), ""Menace to Sobriety"" (1995) and ""Motel California"" (1996) before disbanding in 1997. Read more on Last.fm"
522,Ultramagnetic Mc's,"Members Kool Keith, Ced Gee, TR Love and Moe Love released their debut album Critical Beatdown, produced by Paul C., in 1988 and inspired the world of hip hop with their original sound of unorthodox sampling, polysyllabic rhymes, and bizarre lyrical imagery. 

Kool Keith went on to work with many other groups and solo projects including The Cenobites along with Godfather Don, Dr. Octagon,  Masters of Illusion with Motion Man and Kutmasta Kurt, Dr. Dooom and Project Polaroid with Bay Area producer TomC3. Read more on Last.fm"
523,Ultravox,"Ultravox (formerly Ultravox!) have been one of the primary exponents of the British new wave synthpop music movement since the late 70s. The band is particularly associated with the New Romantic scene, although it both pre- and post-dated the peak of that movement by several years. Known for popular hits such as ""Dancing With Tears In My Eyes"" and ""Vienna"" among many others, the band has drawn inspiration variously from dark, moody post-punk, the artier side of glam rock, and latterly straightforward synthpop. Read more on Last.fm"
524,Uncle Kracker,"Uncle Kracker (born Matthew Shafer 9 November 1974 in Mount Clemens, Michigan) is an American rock and roll and country music musician.

He started out his career at a young age as a fledgling rapper. He met Kid Rock in 1987, and Rock asked Kracker to become his DJ. Kracker did not know how to work the turntables, but he soon learned how to, and he became a long-term friend and colleague of Rock.

Kracker worked with Kid Rock until he became a solo artist in 2000. Read more on Last.fm"
525,Uncle Tupelo,"Uncle Tupelo was an alternative country music group from Belleville, Illinois, active between 1987 and 1994. Jay Farrar, Jeff Tweedy, and Mike Heidorn formed the band after the lead singer of their previous band, The Primitives, left to attend college. The trio recorded three albums for Rockville Records, before signing with Sire Records and expanding to a five-piece. Shortly after the release of the band's major label debut album Anodyne, Farrar Read more on Last.fm"
526,Underoath,"Underoath (occasionally typeset as underOATH or UNDERØATH) is an American band originally formed on November 30, 1997 in Ocala, Florida, but later relocated to Tampa, Florida, which was home to some of their newer members. 
			
During the band's early years, when they were fronted by former vocalist Dallas Taylor, Underoath displayed a heavier style than their later, more well-known work, incorporating disparate influences from death and black metal. Read more on Last.fm"
527,Underworld,"Underworld is a British electronic group formed in 1986 in Romford, Essex, England, by Karl Hyde (vocals, guitar, production) and Rick Smith (keyboards, production). DJ Darren Price (keyboards, production) accompanied the two in live performances between 2005-2016. They are best known for their unique mix of techno, trance, dance, ambient and sometimes drum and bass, the vocal parts performed by Hyde as spoken-word streams of consciousness, and for their outstanding live shows. Read more on Last.fm"
528,Unearth,"There are at least two bands with this name:

1) Unearth is:
Trevor Phipps - vocals
Buz McGrath - guitar
John Maggard - bass
Ken Susi - guitar
Nick Pierce - drums


Hailing from Massachusetts, (originally Point 04)  Unearth bring a refreshing sense of talent with charismatic riffs, thought provoking lyrics and pummeling breakdowns. Unearth masterfully combine an intoxicating mix of American and European metal with hardcore ethic and punch. This unique approach makes Unearth one of the most abrasive Read more on Last.fm"
529,Ungu,"Ungu is an Indonesian rock band formed in Jakarta in 1996 with Makki as the only remaining original member. The group comprises vocalist Pasha, guitarists Enda & Onci, bassist Makki, and drummer Rowman.
Ungu are known for their hit singles, such as ""Demi Waktu"", ""Tercipta Untukku"", ""Andai Ku Tahu"" and ""Kekasih Gelapku"". Read more on Last.fm"
530,Unkle,"UNKLE, a musical outfit founded in 1994 in London, England, United Kingdom. Originally categorized as trip-hop, the group once included producer DJ Shadow and has employed a variety of guest artists and producers.

From the sleeve notes for the latest release End Titles...Stories For Film released in July 2008, the current line-up is stated as James Lavelle and Pablo Clements, also a member of the Psychonauts.

The original line-up was James Lavelle, Tim Goldsworthy (now a member of DFA) and Kudo (Major Force West, Skylab). Read more on Last.fm"
531,Unknown,"Unknown usually refers to a track by an unknown artist ([unknown]), which will not be scrobbled onto Last.FM. It can also refer to a placeholder artist for untitled tracks for album pre-releases on Apple Music.

Unknown may refer to several artists.

1: A rapper from California (album: Lyrical Arsonist). 2: A rapper from Virginia (real name: Jessey Ryan; album: Ghost Mode). 3: An American sludge metal band (album:  Torn Lives and Tired Eyes). 4: A Dutch EDM producer (real name: Sebastian Hoff). Read more on Last.fm"
532,Unseen,"Unseen were a short lived punk band that were on the small UK label Slampt in the mid 90's. They released one 4 track 7"" titled 'Youth Hole' in 1994 with Slampt. They were also featured on a couple of the slampt compilations 'Seven Unlucky Sevens' and 'Elastic Jet Mission'. Read more on Last.fm"
533,Unwritten Law,"Unwritten Law is an American punk rock band formed in 1990 in Poway, California. They have released six full-length studio albums and have toured internationally, including performances on the Warped Tour. They are notable for their singles ""Seein' Red"" and ""Save Me (Wake Up Call),"" both of which entered the top 5 in the US Modern Rock charts. Their latest studio album, Swan, was released in 2011 Read more on Last.fm"
534,Uriah Heep,"Uriah Heep are an English rock band formed in London in 1969. Their current lineup consists of guitarist Mick Box, keyboardist Phil Lanzon, lead vocalist Bernie Shaw, drummer Russell Gilbrook, and bassist Dave Rimmer. They have experienced numerous lineup changes throughout their 53-year career, leaving Box as the only remaining original member. Notable former members of the band are vocalists David Byron, John Lawton, John Sloman and Peter Goalby Read more on Last.fm"
535,Used,"Ontstaan in het najaar van 2007. Drie muzikanten uit verschillende generaties en stromingen binnen de muziek. Alle drie in verschillende bands gespeeld, dus daarom allemaal een beetje tweedehands, maar de muziek van USED is eigen werk. USED wilt vooral puur en eerlijk zijn, in dienst van de muziek. Geen fratsen maar gewoon spelen!
Lekkere transparante kampvuurpunk of hoe je het ook noemt.

band leden:
Arwin Tamminga (zang/gitaar)
Henri van Dijk (bas)
Cyril Prumper (drums) Read more on Last.fm"
536,Usher,"Usher Raymond IV (born October 14, 1978), known simply as Usher, is a Grammy Award winning American R&B singer-songwriter, producer and actor. He rose to fame in the late 90s, releasing the multi-platinum albums My Way and 8701. His success continued with the release of his 2004 album, Confessions, which has sold over 20 million copies worldwide, and earned Usher four American Music Awards and eight Grammy nominations. To date, he has sold approximately 40 million albums worldwide and has won five Grammy Awards. Read more on Last.fm"
537,Utada Hikaru,"宇多田ヒカル (Utada Hikaru), born January 19, 1983 in New York City, United States, also known by her fan-nickname ""ヒッキー"" (Hikki), is a third culture singer-songwriter, arranger, and record producer in Japan and the United States. 宇多田ヒカル (Utada Hikaru) is the name she uses for her Japanese releases. Her English releases should be tagged as Utada, as she has stated herself that she wants her Japanese music to be separate from her English releases. Read more on Last.fm"
538,Utopia,"Utopia may refer to:
1) A progressive rock/AOR band from New York, United States. (1974-1986)
2) A female fronted rock band from Bandung, Indonesia. (2003-present)
3) A grindcore band from Czech Republic.
4) A hip-hop artist from Finland.
5) A hardcore punk band from Poland.
6) A grunge band from Germany.
7) Initial project of Mamonas Assassinas. A rock band from Brazil
8) A pop rock band from Italy.
9) An indie rock band from Lithuania.
10) A alternative rock band from Chisinau, Republic of Moldova Read more on Last.fm"
539,Van Halen,"Van Halen was an American rock band formed in Pasadena, California, in 1972. Credited with ""restoring hard rock to the forefront of the music scene"", Van Halen was known for its energetic live shows and for the virtuosity of its lead guitarist, Eddie Van Halen. The band was inducted into the Rock and Roll Hall of Fame in 2007.

From 1974 until 1985, Van Halen consisted of Eddie Van Halen; Eddie's brother, drummer Alex Van Halen; vocalist David Lee Roth; and bassist/vocalist Michael Anthony. Read more on Last.fm"
540,Van Morrison,"Sir George Ivan ""Van"" Morrison, OBE (generally known as Van Morrison or Van The Man) (born 31 August 1945) is a Grammy Award-winning artist from Belfast, Northern Ireland. He's a singer, songwriter, author, poet, and multi-instrumentalist, who has been a professional musician since 1958. He plays a variety of instruments, including the guitar, harmonica, keyboards, drums, and saxophone. Featuring his characteristic growl - a unique mix of folk, blues Read more on Last.fm"
541,Vanessa Williams,"There are at least two artists by this name, both from the United States:
1. Vanessa L. Williams - American singer and actress.
2.  Vanessa R. Williams - American gospel music singer.

1. Vanessa Lynn Williams (born 18 March 1963 - Tarrytown, New York, U.S.) is an American R&B/pop/theatrical singer and actress. In 1983, Williams made history when she became the first woman of known African descent to be crowned Miss America. Her regime as Miss America Read more on Last.fm"
542,Vangelis,"Evangelos Odysseas Papathanassiou (March 29, 1943 - May 17, 2022), known professionally as Vangelis, was a Greek composer of electronic, progressive, ambient, new age, jazz, and orchestral music. He is best known for his Academy Award-winning score for the film Chariots of Fire, composing scores for the films Blade Runner, Missing, Antarctica, 1492: Conquest of Paradise, and Alexander, and the use of his music in the PBS documentary Cosmos: A Personal Voyage by Carl Sagan. Read more on Last.fm"
543,Vanilla Ice,"Robert Matthew Van Winkle (born October 31, 1967), best known by his stage name Vanilla Ice is an American rapper. Born in Dallas, Texas, United States, and raised in Texas and South Florida, Van Winkle started his musical career in 1988 and released his debut album, 'Hooked', in 1989 through Ichiban Records. He soon signed a contract with SBK Records, which released a reformatted version of that album under the title 'To the Extreme'. Van Winkle's single ""Ice Ice Baby"" was the first hip-hop single to top the Billboard charts Read more on Last.fm"
544,Velvet Underground,"The Velvet Underground was a pioneering experimental rock band from New York City first active from 1965 to 1973. Its best-known lineup consisted of vocalist/guitarist Lou Reed, bassist/violist John Cale, guitarist Sterling Morrison and drummer Maureen Tucker. The band also collaborated with Nico for their debut album in 1967, under the supervision of producer and pop artist Andy Warhol.

Some see The Velvet Underground as being a bridge between the Read more on Last.fm"
545,Vengaboys,"Vengaboys are a eurodance band that came to prominence in 1997. They were formed by Dutch DJ's Danski (Dennis van den Driesschen) and Delmundo (Wessel van Diepen), who toured Spanish beach parties in a bus. They formed in 1992 and gained four dancers during 1995-96. Some of their most successful singles include ""Uncle John from Jamaica"", ""We're Going to Ibiza"", ""Boom Boom Boom Boom"" and ""We Like to Party"". Like in Spanish, the V is pronounced with a soft B sound, as such- ""Bengaboys"", which could be translated as ""The 'Come on' Boys"". Read more on Last.fm"
546,Venom,"1)  Venom is an English heavy metal band formed in 1978 in Newcastle upon Tyne. Coming to prominence towards the end of the new wave of British heavy metal, Venom's first two albums—Welcome to Hell (1981) and Black Metal (1982)—are considered a major influence on thrash metal and extreme metal in general. Venom's second album proved influential enough that its title was used as the name of the extreme metal subgenre of black metal. However, Venom's later discography remained speed/thrash metal Read more on Last.fm"
547,Vera Lynn,"Dame Vera Margaret Lynn (Vera Margaret Welch, 20 March 1917 - 18 June 2020) widely known as ""the Forces' Sweetheart"", was an English singer, songwriter and actress. Her musical recordings and performances were enormously popular during the Second World War.

During the war she toured Egypt, India, and Burma (Myanmar) as part of ENSA, giving outdoor concerts for the troops. The songs most associated with her are ""We'll Meet Again"", ""The White Cliffs of Dover"", ""A Nightingale Sang in Berkeley Square"" and ""There'll Always Be an England"". Read more on Last.fm"
548,Vertical Horizon,"Vertical Horizon is an alternative rock band that was formed in 1990 by Georgetown University undergrads Matthew Scannell and Keith Kane. They're best known today for their 1999 mega-hit ""Everything You Want"", which was #1 on the Billboard Hot 100 chart. After their graduation in 1991, the duo relocated to Boston, in which they got started seriously recording. In 1992, they self-released their debut album, titled 'There and Back Again', which they had recorded in Matt's old high school over a period of a few days. Read more on Last.fm"
549,Veruca Salt,"Veruca Salt are an grunge group from Chicago, Illinois, USA formed in 1993. The band consists of Louise Post (vocals, guitar), Nina Gordon (vocals, guitar), Steve Lack (bass), and Gordon's brother Jim Shapiro (drums). The band has released five albums: ""American Thighs"" (1994), ""Eight Arms to Hold You"" (1997), ""Resolver"" (2000), ""IV"" (2006) and ""Ghost Notes"" (2015).

Veruca Salt was formed alongside the friendship of Louise Post and Nina Gordon. Introduced by Gordon's good friend Read more on Last.fm"
550,Verve,"Verve, the original name of The Verve, were an English rock band formed in Wigan, Greater Manchester in 1990, having met at Winstanley Sixth Form College. The band's initial line-up comprised vocalist Richard Ashcroft, guitarist Nick McCabe, bassist Simon Jones, and drummer Peter Salisbury, whilst Simon Tong later became a member as a second guitarist and keyboard player.

Beginning with a psychedelic sound indebted to shoegazing and space rock, by the mid-1990s they had released several EPs and two acclaimed records. Read more on Last.fm"
551,Vince Gill,"Vince Gill (born April 12, 1957) is an American country music musician, songwriter, singer and a member of the Country Music Hall Of Fame. He achieved commercial success and fame both as frontman to the country-rock band Pure Prairie League in the 1970s, and as a solo artist beginning in 1983, where his talents as a vocalist and musician have placed him in high demand as a guest vocalist, and a duet partner (with artists including Dolly Parton, Reba McEntire, Amy Grant and Barbra Streisand). Read more on Last.fm"
552,Violent Femmes,"Violent Femmes is an alternative rock band, formed in Milwaukee, Wisconsin, United States in 1980. The band originally consisted of Gordon Gano (vocals, guitar), Brian Ritchie (bass), and Victor DeLorenzo (drums), with Guy Hoffman replacing DeLorenzo following his departure starting in 1993 and up until his return in 2002. The band split in early 2009, their last recording being a cover of the Gnarls Barkley song ""Crazy"", a response to Gnarls Barkley's cover of the Femmes song ""Gone Daddy Gone"" released the previous year. Read more on Last.fm"
553,Virgin Steele,"Virgin Steele is an American heavy metal band from New York, originally formed in 1981. The band released a few career highlights albums (Noble Savage, The Marriage of Heaven and Hell Part I, The Marriage of Heaven and Hell Part II and Invictus). In recent years, they have enriched their sound with elements of musical theatre, progressive and symphonic metal, developing and writing projects such as the metal opera The House of Atreus (based on Oresteia Read more on Last.fm"
554,Vonda Shepard,"Vonda Shepard (born July 7, 1963) is a rock singer. She appeared regularly in the television show Ally McBeal in which she played a resident performer at the bar where the show's characters drank after work. She plays piano, guitar, and bass.

Vonda Shepard was born in New York but her family relocated to California when she was fairly young. She played piano from an early age. Her father is Richmond Shepard, a mime and improv actor. Vonda has three sisters: Rosetta, Luana, and Brianna. Read more on Last.fm"
555,Vybz Kartel,"Vybz Kartel (born Adidja Palmer, Jan. 7, 1976) is a Jamaican dancehall deejay.

He was born at Kingston's Victoria Jubilee Hospital, and was one of six children.  Originally from Waterhouse, Kingston, he was raised in the Waterford district in the community Portmore, Jamaica.  Adidja attended Calabar High School in Kingston but was expelled as a teenager.  Determined to continue his education, he completed his studies at a tutorial technical school. Read more on Last.fm"
556,Walk The Moon,"They are several artists named ""Walk the Moon"";

1) ""Walk the Moon"" is an indie rock band that formed in Cincinnati, Ohio in 2008. The band consists of Nicholas Petricca (vocals, keyboards), Eli Maiman (guitar, vocals) and Sean Waugaman (drums, vocals). The band has released four albums, ""I Want! I Want!"" (2010), ""Walk the Moon"" (2012), ""Talking is Hard"" (2014), and ""What if Nothing"" (2017). The band's single, ""Anna Sun"", peaked at #10 on the Billboard Alternative Songs chart in 2012. Read more on Last.fm"
557,Wanda Jackson,"Wanda Jackson (born Wanda Lavonne Jackson, October 20, 1937 in Maud, Oklahoma) is an American rock and roll singer. Having made her debut recordings at the age of nineteen, she became one of the first popular female rock and roll singers in history and as a result, a pioneering and influential figure in female musicianship. She is known as the ""Queen (or First Lady) of Rockabilly.""

Jackson was still in high school when country singer Hank Thompson heard her sing on an Oklahoma City radio show and asked her to record with his band in 1954. Read more on Last.fm"
558,Wang Chung,"Wang Chung are a British new wave musical group.

Originally called Huang Chung which is Chinese for ""perfect pitch"" (though they later claimed it was the sound a guitar made on American Bandstand), the band formed in 1979. The lineup consisted of vocalist/guitarist Jack Hues, bassist Nick Feldman, saxophonist David Burnand a.k.a ""Hogg"" and drummer Darren Costin. Their self-titled debut was released by Arista Records in 1982 after several singles, including the minor post-punk hit ""Isn't It About Time We Were On TV"". Read more on Last.fm"
559,Warren Zevon,"Warren William Zevon (January 24, 1947 - September 7, 2003) was an American rock singer-songwriter and musician noted for including his unique and sometimes sardonic opinions of life in his musical lyrics, composing songs that were sometimes humorous and often had political or historical themes.

Zevon's work has often been praised by well-known musicians, including Jackson Browne, Bruce Springsteen, Bob Dylan, and Neil Young. His best-known compositions include ""Werewolves of London"" Read more on Last.fm"
560,W.A.S.P.,"W.A.S.P. is an American heavy metal band formed in 1982. They emerged from the same Los Angeles scene that spawned Van Halen, Mötley Crüe, Ratt, Quiet Riot, Guns N' Roses and others.

W.A.S.P. began following the demise of Circus Circus, a Los Angeles-based band featuring Blackie Lawless and Randy Piper. The original lineup of W.A.S.P. was formed in Los Angeles, California, in 1982 by Lawless, Piper, Rik Fox, and Tony Richards.

The first lineup did not last for long Read more on Last.fm"
561,Waterboys,"The Waterboys are a band formed in 1983 by Mike Scott. The band's membership, past and present, has been composed mainly of musicians from Scotland, Ireland and England. Edinburgh, London, Dublin, Spiddal, New York, and Findhorn have all served as homes for the group. The band has played in a number of different styles, but their music is a mix of Celtic folk music with rock and roll. After ten years of recording and touring, they dissolved in 1993 and Scott pursued a solo career. Read more on Last.fm"
562,Waylon Jennings,"Waylon Jennings was a singer, songwriter and guitarist, who recorded 60 albums and had 16 #1 country singles in a career that spanned five decades. Jennings lived a life straight out of a classic country song. With a baritone growl for a voice and a musical style that blended folk lyrics, rock rhythms, and honky-tonk-style instrumentation, Jennings's songs reflected the highs and lows of life on the road. In the 1950s he was mentored by pioneering rocker Buddy Holly Read more on Last.fm"
563,Ween,"Ween is an American alternative rock band from New Hope, Pennsylvania, formed in 1984 by Aaron Freeman and Mickey Melchiondo, better known by their respective stage names, Gene and Dean Ween. Generally categorized as an alternative rock band, the band is known for their irreverent, highly eclectic catalog of songs inspired by funk, soul, country, gospel, progressive, psychedelia, R&B, heavy metal, and punk rock.

Ween self-released several cassette albums from their formation until 1989. Read more on Last.fm"
564,Weezer,"Weezer is an American alternative rock band. Formed in 1992, they have released 15 full length albums, 1 cover album, six EPs, and a DVD. Their latest album, titled 'Van Weezer', came out on May 7th, 2021, Although, they released 4 EPs in 2022, known as SZNZ. They've sold over ten million records in the United States to date, and 35 million worldwide. They play music influenced by alternative bands and power pop artists among others.

Weezer started in Los Angeles Read more on Last.fm"
565,Weird Al Yankovic,"Did you mean ""Weird Al"" Yankovic? The correct artist name features quotation marks around ""Weird Al"". 

If Last.fm autocorrection is turned on, your scrobbles will automatically redirect to the correct artist name. Read more on Last.fm"
566,Westlife,"Westlife is an Irish pop group formed on 3 July 1998.  The group's original lineup comprised Nicky Byrne, Kian Egan, Markus Feehily, Shane Filan and Brian McFadden (who left in 2004).  The group is the only act in UK history to have their first seven singles go straight to Number 1, and they have gone on to sell over 45 million records worldwide.

They were signed by Simon Cowell and are managed by Louis Walsh.  In 2008, they were declared as Republic of Ireland's ninth-richest celebrities under 30 years old and 13th in general. Read more on Last.fm"
567,Wet Wet Wet,"Wet Wet Wet are a Scottish soft rock band formed in 1982. They scored a number of hits in the UK charts and around the world in the 1980s and 1990s. They are best known for their 1994 cover of The Troggs' 1960s hit ""Love Is All Around"", which was used on the soundtrack to the film Four Weddings and a Funeral. The song was an international success, and spent 15 weeks atop the British charts. The band is currently composed of founding member Graeme Clark (bass Read more on Last.fm"
568,Wham!,"Wham! (often written WHAM!) was a pop band formed in 1981 from Bushey, England. They were briefly known in the United States as Wham! UK due to a naming conflict with another band.

George Michael and Andrew Ridgeley met at Bushey Meads School in Watford, England. At first, they performed in a short-lived rock and roll band called The Executive. They then changed their name and signed with Innervision Records. Soon after a legal victory over Innervision Read more on Last.fm"
569,Whiskeytown,"Whiskeytown was an alt-country band from Raleigh, North Carolina founded in 1994 and fronted by Ryan Adams along with violinist Caitlin Cary. The band produced a number of albums before ultimately parting ways in 2000. 

Other members of the group included guitarists Mike Daly and Phil Wandscher, bassist Steve Grothmann and drummer Skillet Gilmore.

Adams and Cary have publicly talked of reuniting Whiskeytown on multiple occasions, as recently as 2005, but as of yet, nothing new has materialized. Read more on Last.fm"
570,The White Stripes,"The White Stripes was an alternative rock band, formed in 1997 in Detroit, Michigan, United States. They disbanded in 2011. The group consisted of songwriter Jack White (vocals, piano/keyboards, guitar) and Meg White (drums, vocals).

After releasing several singles and three albums within the Detroit independent music underground, The White Stripes rose to prominence in 2002, as part of the garage rock revival scene. Their successful albums White Read more on Last.fm"
571,Whitesnake,"Whitesnake is an English hard rock band, founded in 1978 by vocalist David Coverdale (formerly of Deep Purple) in North Yorkshire, UK. The current line-up of the band also include Joel Hoekstra (lead guitar), Reb Beach (rhythm guitar), Michael Devin (bass), Brian Ruedy (keyboards) and Tommy Aldridge (drums). While the group's membership has fluctuated, Coverdale remains the heart and soul of the band.

In their early years, Whitesnake played in a hard-edged blues rock and heavy metal influenced style. Read more on Last.fm"
572,Whitney Houston,"Whitney Elizabeth Houston (August 9, 1963 – February 11, 2012) was an American singer and actress. Nicknamed ""the Voice,"" she is regarded as one of the greatest singers in the history of music. Houston is one of the best-selling music artists of all time, with over 220 million records sold worldwide. She influenced many singers in the recording industry and was known for her powerful, soulful vocals, vocal improvisation skills, use of gospel singing techniques in pop music, and live performances. Read more on Last.fm"
573,Who,See The Who Read more on Last.fm
574,Widespread Panic,"Widespread Panic is a rock band from Athens, Georgia, United States in 1986, originally formed by John Bell and the late Michael Houser.  The band currently consists of Bell (vocals, guitar), Jimmy Herring (guitar), Dave Schools (bass), John ""JoJo"" Hermann (keyboards), Domingo ""Sunny"" Ortiz (percussion) and Todd Nance (drums).

Houser and Bell (""JB"") met at the University of Georgia at Athens between 1982 and 1984, and began playing music together around town as a duet. Read more on Last.fm"
